file,gt,pred,wer
bbwc8p,bin blue with c eight please,bin blue with c eight please,0.0
bbwc9a,bin blue with c nine again,bin blue with c nine again,0.0
bbwj1s,bin blue with j one soon,bin blue with j one soon,0.0
bbwj2p,bin blue with j two please,bin blue with j two please,0.0
bbwj3a,bin blue with j three again,bin blue with j three again,0.0
bbwjzn,bin blue with j zero now,bin blue with j zero now,0.0
bbwp4n,bin blue with p four now,bin blue with p four now,0.0
bbwp5s,bin blue with p five soon,bin blue with p five soon,0.0
bbwp6p,bin blue with p six please,bin blue with p six please,0.0
bbwp7a,bin blue with p seven again,bin blue with p seven again,0.0
bbwv8n,bin blue with v eight now,bin blue with v eight now,0.0
bbwv9s,bin blue with v nine soon,bin blue with v nine soon,0.0
bbwx1a,bin blue with x one again,bin blue with x one again,0.0
bbwxzp,bin blue with x zero please,bin blue with x zero please,0.0
bgad6n,bin green at d six now,bin green at d six now,0.0
bgad7s,bin green at d seven soon,bin green at d seven soon,0.0
bgad8p,bin green at d eight please,bin green at the eight please,0.16666666666666666
bgad9a,bin green at d nine again,bin green at d nine again,0.0
bgak1s,bin green at k one soon,bin green at k one soon,0.0
bgak2p,bin green at k two please,bin green at k two please,0.0
bgak3a,bin green at k three again,bin green at k three again,0.0
bgakzn,bin green at k zero now,bin green at k zero now,0.0
bgaq4n,bin green at q four now,bin green at q four now,0.0
bgaq5s,bin green at q five soon,bin green at q five soon,0.0
bgaq6p,bin green at q six please,bin green at q six please,0.0
bgaq7a,bin green at q seven again,bin green at q seven again,0.0
bgax8n,bin green at x eight now,bin green at x eight now,0.0
bgax9s,bin green at x nine soon,bin green at x nine soon,0.0
bgay1a,bin green at y one again,bin green at y one again,0.0
bgayzp,bin green at y zero please,bin green at y zero please,0.0
bgbe1s,bin green by e one soon,bin green by e one soon,0.0
bgbe2p,bin green by e two please,bin green might e two please,0.16666666666666666
bgbe3a,bin green by e three again,bin green by e three again,0.0
bgbezn,bin green by e zero now,bin green by e zero now,0.0
bgbk4n,bin green by k four now,bin green by k four now,0.0
bgbk5s,bin green by k five soon,bin green by k five soon,0.0
bgbk6p,bin green by k six please,bin green by k six please,0.0
bgbk7a,bin green by k seven again,bin green by k seven again,0.0
bgbq8n,bin green by q eight now,bin green by q eight now,0.0
bgbq9s,bin green by q nine soon,bin green by q nine soon,0.0
bgbr1a,bin green by r one again,bin green by r one again,0.0
bgbrzp,bin green by r zero please,bin green by r zero please,0.0
bgby2n,bin green by y two now,bin green by y two now,0.0
bgby3s,bin green by y three soon,bin green by y three soon,0.0
bgby4p,bin green by y four please,bin green by y four please,0.0
bgby5a,bin green by y five again,bin green by y five again,0.0
bgid2n,bin green in d two now,bin green in d two now,0.0
bgid3s,bin green in d three soon,bin green in d three soon,0.0
bgid4p,bin green in d four please,bin green in d four please,0.0
bgid5a,bin green in d five again,bin green in d five again,0.0
bgij6n,bin green in j six now,bin green in j six now,0.0
bgij7s,bin green in j seven soon,bin green in j seven soon,0.0
bgij8p,bin green in j eight please,bin green in j eight please,0.0
bgij9a,bin green in j nine again,bin green in j nine again,0.0
bgiq1s,bin green in q one soon,bin green in q one soon,0.0
bgiq2p,bin green in q two please,bin green in q two please,0.0
bgiq3a,bin green in q three again,bin green in q three again,0.0
bgiqzn,bin green in q zero now,bin green in q zero now,0.0
bgix4n,bin green in x four now,bin green in x four now,0.0
bgix5s,bin green in x five soon,bin green in x five soon,0.0
bgix6p,bin green in x six please,bin green in x six please,0.0
bgix7a,bin green in x seven again,bin green in x seven again,0.0
bgwe4n,bin green with e four now,bin green with e four now,0.0
bgwe5s,bin green with e five soon,bin green with e five soon,0.0
bgwe6p,bin green with e six please,bin green with e six please,0.0
bgwe7a,bin green with e seven again,bin green with e seven again,0.0
bgwk8n,bin green with k eight now,bin green with k eight now,0.0
bgwk9s,bin green with k nine soon,bin green with k nine soon,0.0
bgwl1a,bin green with l one again,bin green with l one again,0.0
bgwlzp,bin green with l zero please,bin green with l zero please,0.0
bgwr2n,bin green with r two now,bin green with r two now,0.0
bgwr3s,bin green with r three soon,bin green with r three soon,0.0
bgwr4p,bin green with r four please,bin green with r four please,0.0
bgwr5a,bin green with r five again,bin green with r five again,0.0
bgwy6n,bin green with y six now,bin green with y six now,0.0
bgwy7s,bin green with y seven soon,bin green with y seven soon,0.0
bgwy8p,bin green with y eight please,bin green with y eight please,0.0
bgwy9a,bin green with y nine again,bin green with y nine again,0.0
brac4n,bin red at c four now,bin red at c four now,0.0
brac5s,bin red at c five soon,bin red at c five soon,0.0
brac6p,bin red at c six please,bin red at c six please,0.0
brac7a,bin red at c seven again,bin red at c seven again,0.0
brai8n,bin red at i eight now,bin red at i eight now,0.0
brai9s,bin red at i nine soon,bin red at i nine soon,0.0
braj1a,bin red at j one again,bin red at j one again,0.0
brajzp,bin red at j zero please,bin red at j zero please,0.0
brap2n,bin red at p two now,bin red at p two now,0.0
brap3s,bin red at p three soon,bin red at p three soon,0.0
brap4p,bin red at p four please,bin red at p four please,0.0
brap5a,bin red at p five again,bin red at p five again,0.0
brav6n,bin red at v six now,bin red at v six now,0.0
brav7s,bin red at v seven soon,bin red at v seven soon,0.0
brav8p,bin red at v eight please,bin red at v eight please,0.0
brav9a,bin red at v nine again,bin red at v nine again,0.0
brbc8n,bin red by c eight now,bin red by c eight now,0.0
brbc9s,bin red by c nine soon,bin red by c nine soon,0.0
brbd1a,bin red by d one again,bin red by d one again,0.0
brbdzp,bin red by d zero please,bin red by d zero please,0.0
brbj2n,bin red by j two now,bin red by j two now,0.0
brbj3s,bin red by j three soon,bin red by j three soon,0.0
brbj4p,bin red by j four please,bin red by j four please,0.0
brbj5a,bin red by j five again,bin red by j five again,0.0
brbp6n,bin red by p six now,bin red by p six now,0.0
brbp7s,bin red by p seven soon,bin red by p seven soon,0.0
brbp8p,bin red by p eight please,bin red by p eight please,0.0
brbp9a,bin red by p nine again,bin red by p nine again,0.0
brbx1s,bin red by x one soon,bin red by x one soon,0.0
brbx2p,bin red by x two please,bin red by x two please,0.0
brbx3a,bin red by x three again,bin red by x three again,0.0
brbxzn,bin red by x zero now,bin red by x zero now,0.0
bric1s,bin red in c one soon,bin red in c one soon,0.0
bric2p,bin red in c two please,bin red in c two please,0.0
bric3a,bin red in c three again,bin red in c three again,0.0
briczn,bin red in c zero now,bin red in c zero now,0.0
brii4n,bin red in i four now,bin red in i four now,0.0
brii5s,bin red in i five soon,bin red in i five soon,0.0
brii6p,bin red in i six please,bin red in i six please,0.0
brii7a,bin red in i seven again,bin red in i seven again,0.0
brio8n,bin red in o eight now,bin red in o eight now,0.0
brio9s,bin red in o nine soon,bin red in o nine soon,0.0
brip1a,bin red in p one again,bin red in p one again,0.0
bripzp,bin red in p zero please,bin red in p zero please,0.0
briv2n,bin red in v two now,bin red in v two now,0.0
briv3s,bin red in v three soon,bin red in v three soon,0.0
briv4p,bin red in v four please,bin red in v four please,0.0
briv5a,bin red in v five again,bin red in v five again,0.0
brwd2n,bin red with d two now,bin red with d two now,0.0
brwd3s,bin red with d three soon,bin red with d three soon,0.0
brwd4p,bin red with d four please,bin red with d four please,0.0
brwd5a,bin red with d five again,bin red with d five again,0.0
brwj6n,bin red with j six now,bin red with j six now,0.0
brwj7s,bin red with j seven soon,bin red with j seven soon,0.0
brwj8p,bin red with j eight please,bin red with j eight please,0.0
brwj9a,bin red with j nine again,bin red with j nine again,0.0
brwq1s,bin red with q one soon,bin red with q one soon,0.0
brwq2p,bin red with q two please,bin red with q two please,0.0
brwq3a,bin red with q three again,bin red with q three again,0.0
brwqzn,bin red with q zero now,bin red with q zero now,0.0
brwx4n,bin red with x four now,bin red with x four now,0.0
brwx5s,bin red with x five soon,bin red with x five soon,0.0
brwx6p,bin red with x six please,bin red with x six please,0.0
brwx7a,bin red with x seven again,bin red with x seven again,0.0
bwad1s,bin white at d one soon,bin white at d one soon,0.0
bwad2p,bin white at d two please,bin white at d two please,0.0
bwad3a,bin white at d three again,bin white at d three again,0.0
bwadzn,bin white at d zero now,bin white at t zero now,0.16666666666666666
bwaj4n,bin white at j four now,bin white at j four now,0.0
bwaj5s,bin white at j five soon,bin white at j five soon,0.0
bwaj6p,bin white at j six please,bin white at j six please,0.0
bwaj7a,bin white at j seven again,bin white at j seven again,0.0
bwap8n,bin white at p eight now,bin white at p eight now,0.0
bwap9s,bin white at p nine soon,bin white at p nine soon,0.0
bwaq1a,bin white at q one again,bin white at q one again,0.0
bwaqzp,bin white at q zero please,bin white at q zero please,0.0
bwax2n,bin white at x two now,bin white at x two now,0.0
bwax3s,bin white at x three soon,bin white at x three soon,0.0
bwax4p,bin white at x four please,bin white at x four please,0.0
bwax5a,bin white at x five again,bin white at x five again,0.0
bwbd4n,bin white by d four now,bin white by d four now,0.0
bwbd5s,bin white by d five soon,bin white by d five soon,0.0
bwbd6p,bin white by d six please,bin white by d six please,0.0
bwbd7a,bin white by d seven again,bin white by d seven again,0.0
bwbj8n,bin white by j eight now,bin white by j eight now,0.0
bwbj9s,bin white by j nine soon,bin white by j nine soon,0.0
bwbk1a,bin white by k one again,bin white by k one again,0.0
bwbkzp,bin white by k zero please,bin white by k zero please,0.0
bwbq2n,bin white by q two now,bin white by q two now,0.0
bwbq3s,bin white by q three soon,bin white by q three soon,0.0
bwbq4p,bin white by q four please,bin white by q four please,0.0
bwbq5a,bin white by q five again,bin white by q five again,0.0
bwbx6n,bin white by x six now,bin white by x six now,0.0
bwbx7s,bin white by x seven soon,bin white by x seven soon,0.0
bwbx8p,bin white by x eight please,bin white by x eight please,0.0
bwbx9a,bin white by x nine again,bin white by x nine again,0.0
bwic6n,bin white in c six now,bin white in c six now,0.0
bwic7s,bin white in c seven soon,bin white in c seven soon,0.0
bwic8p,bin white in c eight please,bin white in c eight please,0.0
bwic9a,bin white in c nine again,bin white in c nine again,0.0
bwij1s,bin white in j one soon,bin white in j one soon,0.0
bwij2p,bin white in j two please,bin white in j two please,0.0
bwij3a,bin white in j three again,bin white in j three again,0.0
bwijzn,bin white in j zero now,bin white in j zero now,0.0
bwip4n,bin white in p four now,bin white in p four now,0.0
bwip5s,bin white in p five soon,bin white in p five soon,0.0
bwip6p,bin white in p six please,bin white in p six please,0.0
bwip7a,bin white in p seven again,bin white in p seven again,0.0
bwiv8n,bin white in v eight now,bin white in v eight now,0.0
bwiv9s,bin white in v nine soon,bin white in v nine soon,0.0
bwix1a,bin white in x one again,bin white in x one again,0.0
bwixzp,bin white in x zero please,bin white in x zero please,0.0
bwwd8n,bin white with d eight now,bin white with d eight now,0.0
bwwd9s,bin white with d nine soon,bin white with d nine soon,0.0
bwwe1a,bin white with e one again,bin white with e one again,0.0
bwwezp,bin white with e zero please,bin white with e zero please,0.0
bwwk2n,bin white with k two now,bin white with k two now,0.0
bwwk3s,bin white with k three soon,bin white with k three soon,0.0
bwwk4p,bin white with k four please,bin white with k four please,0.0
bwwk5a,bin white with k five again,bin white with k five again,0.0
bwwq6n,bin white with q six now,bin white with q six now,0.0
bwwq7s,bin white with q seven soon,bin white with q seven soon,0.0
bwwq8p,bin white with q eight please,bin white with q eight please,0.0
bwwq9a,bin white with q nine again,bin white with q nine again,0.0
bwwy1s,bin white with y one soon,bin white with y one soon,0.0
bwwy2p,bin white with y two please,bin white with y two please,0.0
bwwy3a,bin white with y three again,bin white with y three again,0.0
bwwyzn,bin white with y zero now,bin white with y zero now,0.0
lbaa2n,lay blue at a two now,lay blue with a two now,0.16666666666666666
lbaa3s,lay blue at a three soon,lay blue with a three soon,0.16666666666666666
lbaa4p,lay blue at a four please,lay blue at a four please,0.0
lbaa5a,lay blue at a five again,lay blue at a five again,0.0
lbag6n,lay blue at g six now,lay blue at g six now,0.0
lbag7s,lay blue at g seven soon,lay blue at g seven soon,0.0
lbag8p,lay blue at g eight please,lay blue at g eight please,0.0
lbag9a,lay blue at g nine again,lay blue at g nine again,0.0
lban1s,lay blue at n one soon,lay blue at n one soon,0.0
lban2p,lay blue at n two please,lay blue at n two please,0.0
lban3a,lay blue at n three again,lay blue at n three again,0.0
lbanzn,lay blue at n zero now,lay blue with n zero now,0.16666666666666666
lbat4n,lay blue at t four now,lay blue at t four now,0.0
lbat5s,lay blue at t five soon,lay blue at t five soon,0.0
lbat6p,lay blue at t six please,lay blue at t six please,0.0
lbat7a,lay blue at t seven again,lay blue at t seven again,0.0
lbba6n,lay blue by a six now,lay blue by a six now,0.0
lbba7s,lay blue by a seven soon,lay blue by a seven soon,0.0
lbba8p,lay blue by a eight please,lay blue by h eight please,0.16666666666666666
lbba9a,lay blue by a nine again,lay blue by a nine again,0.0
lbbh1s,lay blue by h one soon,lay blue by h one soon,0.0
lbbh2p,lay blue by h two please,lay blue by h two please,0.0
lbbh3a,lay blue by h three again,lay blue by h three again,0.0
lbbhzn,lay blue by h zero now,lay blue by h zero now,0.0
lbbn4n,lay blue by n four now,lay blue by n four now,0.0
lbbn5s,lay blue by n five soon,lay blue by n five soon,0.0
lbbn6p,lay blue by n six please,lay blue by n six please,0.0
lbbn7a,lay blue by n seven again,lay blue by n seven again,0.0
lbbt8n,lay blue by t eight now,lay blue by t eight now,0.0
lbbt9s,lay blue by t nine soon,lay blue by t nine soon,0.0
lbbu1a,lay blue by u one again,lay blue by u one again,0.0
lbbuzp,lay blue by u zero please,lay blue by u zero please,0.0
lbia1a,lay blue in a one again,lay blue in a one again,0.0
lbiazp,lay blue in a zero please,lay blue in a zero please,0.0
lbig2n,lay blue in g two now,lay blue in g two now,0.0
lbig3s,lay blue in g three soon,lay blue in g three soon,0.0
lbig4p,lay blue in g four please,lay blue in g four please,0.0
lbig5a,lay blue in g five again,lay blue in g five again,0.0
lbim6n,lay blue in m six now,lay blue in m six now,0.0
lbim7s,lay blue in m seven soon,lay blue in m seven soon,0.0
lbim8p,lay blue in m eight please,lay blue in m eight please,0.0
lbim9a,lay blue in m nine again,lay blue in m nine again,0.0
lbit1s,lay blue in t one soon,lay blue in t one soon,0.0
lbit2p,lay blue in t two please,lay blue in t two please,0.0
lbit3a,lay blue in t three again,lay blue in t three again,0.0
lbitzn,lay blue in t zero now,lay blue in t zero now,0.0
lbwb1s,lay blue with b one soon,lay blue with b one soon,0.0
lbwb2p,lay blue with b two please,lay blue with b two please,0.0
lbwb3a,lay blue with b three again,lay blue with b three again,0.0
lbwbzn,lay blue with b zero now,lay blue with p zero now,0.16666666666666666
lbwh4n,lay blue with h four now,lay blue with h four now,0.0
lbwh5s,lay blue with h five soon,lay blue with h five soon,0.0
lbwh6p,lay blue with h six please,lay blue with h six please,0.0
lbwh7a,lay blue with h seven again,lay blue with h seven again,0.0
lbwn8n,lay blue with n eight now,lay blue with n eight now,0.0
lbwn9s,lay blue with n nine soon,lay blue with n nine soon,0.0
lbwo1a,lay blue with o one again,lay blue with o one again,0.0
lbwozp,lay blue with o zero please,lay blue with o zero please,0.0
lbwu2n,lay blue with u two now,lay blue with u two now,0.0
lbwu3s,lay blue with u three soon,lay blue with u three soon,0.0
lbwu4p,lay blue with u four please,lay blue with u four please,0.0
lbwu5a,lay blue with u five again,lay blue with u five again,0.0
lgac1s,lay green at c one soon,lay green at c one soon,0.0
lgac2p,lay green at c two please,lay green at c two please,0.0
lgac3a,lay green at c three again,lay green at c three again,0.0
lgaczn,lay green at c zero now,lake green at c zero now,0.16666666666666666
lgai4n,lay green at i four now,lay green at i four now,0.0
lgai5s,lay green at i five soon,lay green at i five soon,0.0
lgai6p,lay green at i six please,lay green at i six please,0.0
lgai7a,lay green at i seven again,lay green at i seven again,0.0
lgao8n,lay green at o eight now,lay green at o eight now,0.0
lgao9s,lay green at o nine soon,lay green at o nine soon,0.0
lgap1a,lay green at p one again,lay green at p one again,0.0
lgapzp,lay green at p zero please,lay green at p zero please,0.0
lgav2n,lay green at v two now,lay green at v two now,0.0
lgav3s,lay green at v three soon,lay green at v three soon,0.0
lgav4p,lay green at v four please,lay green at v four please,0.0
lgav5a,lay green at v five again,lay green at v five again,0.0
lgbc4n,lay green by c four now,lay green by c four now,0.0
lgbc5s,lay green by c five soon,lay green by c five soon,0.0
lgbc6p,lay green by c six please,lay green by c six please,0.0
lgbc7a,lay green by c seven again,lay green by c seven again,0.0
lgbi8n,lay green by i eight now,lay green by i eight now,0.0
lgbi9s,lay green by i nine soon,lay green by e nine soon,0.16666666666666666
lgbj1a,lay green by j one again,lay green by j one again,0.0
lgbjzp,lay green by j zero please,lay green by j zero please,0.0
lgbp2n,lay green by p two now,lay green by p two now,0.0
lgbp3s,lay green by p three soon,lay green by p three soon,0.0
lgbp4p,lay green by p four please,lay green by p four please,0.0
lgbp5a,lay green by p five again,lay green by p five again,0.0
lgbv6n,lay green by v six now,lay green by v six now,0.0
lgbv7s,lay green by v seven soon,lay green by v seven soon,0.0
lgbv8p,lay green by v eight please,lay green by v eight please,0.0
lgbv9a,lay green by v nine again,lay green by v nine again,0.0
lgib6n,lay green in b six now,lay green in b six now,0.0
lgib7s,lay green in b seven soon,lay green in b seven soon,0.0
lgib8p,lay green in b eight please,lay green in b eight please,0.0
lgib9a,lay green in b nine again,lay green in b nine again,0.0
lgii1s,lay green in i one soon,lay green in i one soon,0.0
lgii2p,lay green in i two please,lay green in i two please,0.0
lgii3a,lay green in i three again,lay green in i three again,0.0
lgiizn,lay green in i zero now,lay green in i zero now,0.0
lgio4n,lay green in o four now,lay green at o four now,0.16666666666666666
lgio5s,lay green in o five soon,lay green in o five soon,0.0
lgio6p,lay green in o six please,lay green in o six please,0.0
lgio7a,lay green in o seven again,lay green in o seven again,0.0
lgiu8n,lay green in u eight now,lay green in u eight now,0.0
lgiu9s,lay green in u nine soon,lay green in u nine soon,0.0
lgiv1a,lay green in v one again,lay green in v one again,0.0
lgivzp,lay green in v zero please,lay green in v zero please,0.0
lgwc8n,lay green with c eight now,lay green with c eight now,0.0
lgwc9s,lay green with c nine soon,lay green with c nine soon,0.0
lgwd1a,lay green with d one again,lay green with d one again,0.0
lgwdzp,lay green with d zero please,lay green with d zero please,0.0
lgwj2n,lay green with j two now,lay green with j two now,0.0
lgwj3s,lay green with j three soon,lay green with j three soon,0.0
lgwj4p,lay green with j four please,lay green with j four please,0.0
lgwj5a,lay green with j five again,lay green with j five again,0.0
lgwp6n,lay green with p six now,lay green with p six now,0.0
lgwp7s,lay green with p seven soon,lay green with p seven soon,0.0
lgwp8p,lay green with p eight please,lay green with p eight please,0.0
lgwp9a,lay green with p nine again,lay green with p nine again,0.0
lgwx1s,lay green with x one soon,lay green with x one soon,0.0
lgwx2p,lay green with x two please,lay green with x two please,0.0
lgwx3a,lay green with x three again,lay green with x three again,0.0
lgwxzn,lay green with x zero now,lay green with x zero now,0.0
lraa8n,lay red at a eight now,lay red at a eight now,0.0
lraa9s,lay red at a nine soon,lay red at a nine soon,0.0
lrab1a,lay red at b one again,lay red at b one again,0.0
lrabzp,lay red at b zero please,lay red at b zero please,0.0
lrah2n,lay red at h two now,lay red at h two now,0.0
lrah3s,lay red at h three soon,lay red at h three soon,0.0
lrah4p,lay red at h four please,lay red at h four please,0.0
lrah5a,lay red at h five again,lay red at h five again,0.0
lran6n,lay red at n six now,lay red at n six now,0.0
lran7s,lay red at n seven soon,lay red at n seven soon,0.0
lran8p,lay red at n eight please,lay red at n eight please,0.0
lran9a,lay red at n nine again,lay red at n nine again,0.0
lrau1s,lay red at u one soon,lay red at u one soon,0.0
lrau2p,lay red at u two please,lay red at u two please,0.0
lrau3a,lay red at u three again,lay red at u three again,0.0
lrauzn,lay red at u zero now,lay red at u zero now,0.0
lrbb2n,lay red by b two now,lay red by b two now,0.0
lrbb3s,lay red by b three soon,lay red by b three soon,0.0
lrbb4p,lay red by b four please,lay red by b four please,0.0
lrbb5a,lay red by b five again,lay red by b five again,0.0
lrbh6n,lay red by h six now,lay red by h six now,0.0
lrbh7s,lay red by h seven soon,lay red by h seven soon,0.0
lrbh8p,lay red by h eight please,lay red by h eight please,0.0
lrbh9a,lay red by h nine again,lay red by h nine again,0.0
lrbo1s,lay red by o one soon,lay red by o one soon,0.0
lrbo2p,lay red by o two please,lay red by o two please,0.0
lrbo3a,lay red by o three again,lay red by o three again,0.0
lrbozn,lay red by o zero now,lay red by o zero now,0.0
lrbu4n,lay red by u four now,lay red by u four now,0.0
lrbu5s,lay red by u five soon,lay red by u five soon,0.0
lrbu6p,lay red by u six please,lay red by u six please,0.0
lrbu7a,lay red by u seven again,lay red by u seven again,0.0
lria4n,lay red in a four now,lay red in a four now,0.0
lria5s,lay red in a five soon,lay red in a five soon,0.0
lria6p,lay red in a six please,lay red in a six please,0.0
lria7a,lay red in a seven again,lay red in a seven again,0.0
lrig8n,lay red in g eight now,lay red in g eight soon,0.16666666666666666
lrig9s,lay red in g nine soon,lay red in g nine soon,0.0
lrih1a,lay red in h one again,lay red in h one again,0.0
lrihzp,lay red in h zero please,lay red in h zero please,0.0
lrin2n,lay red in n two now,lay red in n two now,0.0
lrin3s,lay red in n three soon,lay red in n three soon,0.0
lrin4p,lay red in n four please,lay red in n four please,0.0
lrin5a,lay red in n five again,lay red in n five again,0.0
lrit6n,lay red in t six now,lay red in t six now,0.0
lrit7s,lay red in t seven soon,i lay red in t seven soon,0.16666666666666666
lrit8p,lay red in t eight please,lay red in t eight please,0.0
lrit9a,lay red in t nine again,lay red in t nine again,0.0
lrwb6n,lay red with b six now,i lay red with b six now,0.16666666666666666
lrwb7s,lay red with b seven soon,lay red with b seven soon,0.0
lrwb8p,lay red with b eight please,lay red with b eight please,0.0
lrwb9a,lay red with b nine again,lay red with b nine again,0.0
lrwi1s,lay red with i one soon,lay red with i one soon,0.0
lrwi2p,lay red with i two please,lay red with i two please,0.0
lrwi3a,lay red with i three again,lay red with i three again,0.0
lrwizn,lay red with i zero now,lay red with i zero now,0.0
lrwo4n,lay red with o four now,lay red with o four now,0.0
lrwo5s,lay red with o five soon,lay red with o five soon,0.0
lrwo6p,lay red with o six please,lay red with o six please,0.0
lrwo7a,lay red with o seven again,lay red with o seven again,0.0
lrwu8n,lay red with u eight now,lay red with u eight now,0.0
lrwu9s,lay red with u nine soon,lay red with u nine soon,0.0
lrwv1a,lay red with v one again,lay red with v one again,0.0
lrwvzp,lay red with v zero please,lay red with v zero please,0.0
lwab4n,lay white at b four now,lay white at b four now,0.0
lwab5s,lay white at b five soon,lay white at b five soon,0.0
lwab6p,lay white at b six please,lay white at b six please,0.0
lwab7a,lay white at b seven again,i lay white at b seven again,0.16666666666666666
lwah8n,lay white at h eight now,lay white at h eight now,0.0
lwah9s,lay white at h nine soon,lay white at h nine soon,0.0
lwai1a,lay white at i one again,lay white at i one again,0.0
lwaizp,lay white at i zero please,lay white at i zero please,0.0
lwao2n,lay white at o two now,lay white at o two now,0.0
lwao3s,lay white at o three soon,lay white at o three soon,0.0
lwao4p,lay white at o four please,lay white at o four please,0.0
lwao5a,lay white at o five again,lay white at o five again,0.0
lwau6n,lay white at u six now,lay white at u six now,0.0
lwau7s,lay white at u seven soon,lay white at u seven soon,0.0
lwau8p,lay white at u eight please,lay white at u eight please,0.0
lwau9a,lay white at u nine again,lay white at u nine again,0.0
lwbb8n,lay white by b eight now,lay white by b eight now,0.0
lwbb9s,lay white by b nine soon,lay white by b nine soon,0.0
lwbc1a,lay white by c one again,lay white by c one again,0.0
lwbczp,lay white by c zero please,lay white by c zero please,0.0
lwbi2n,lay white by i two now,lay white by i two now,0.0
lwbi3s,lay white by i three soon,lay white by i three soon,0.0
lwbi4p,lay white by i four please,lay white by i four please,0.0
lwbi5a,lay white by i five again,lay white by i five again,0.0
lwbo6n,lay white by o six now,lay white by o six now,0.0
lwbo7s,lay white by o seven soon,lay white by o seven soon,0.0
lwbo8p,lay white by o eight please,lay white by o eight please,0.0
lwbo9a,lay white by o nine again,lay white by o nine again,0.0
lwbv1s,lay white by v one soon,lay white by v one soon,0.0
lwbv2p,lay white by v two please,lay white by v two please,0.0
lwbv3a,lay white by v three again,lay white by v three again,0.0
lwbvzn,lay white by v zero now,lay white by v zero now,0.0
lwib1s,lay white in b one soon,lay white in b one soon,0.0
lwib2p,lay white in b two please,lay white in b two please,0.0
lwib3a,lay white in b three again,lay white in b three again,0.0
lwibzn,lay white in b zero now,lay white in b zero now,0.0
lwih4n,lay white in h four now,lay white in h four now,0.0
lwih5s,lay white in h five soon,lay white in h five soon,0.0
lwih6p,lay white in h six please,lay white in h six please,0.0
lwih7a,lay white in h seven again,lay white in h seven again,0.0
lwin8n,lay white in n eight now,lay white in n eight now,0.0
lwin9s,lay white in n nine soon,lay white in n nine soon,0.0
lwio1a,lay white in o one again,lay white in o one again,0.0
lwiozp,lay white in o zero please,lay white in o zero please,0.0
lwiu2n,lay white in u two now,lay white in u two now,0.0
lwiu3s,lay white in u three soon,lay white on u three soon,0.16666666666666666
